x,y,theta
1.78,-1.192840550399751,1.547519328256385
1.78,-1.1889998527999524,1.535459537793031
1.78,-1.1841206271992633,1.520138769407822
1.78,-1.178146329599258,1.5013794749465887
1.78,-1.1710399999997207,1.4790655999986484
1.78,-1.1627831103999142,1.4531389666608447
1.78,-1.1533744127991667,1.4235956561933563
1.78,-1.1428287871997327,1.3904823918092006
1.78,-1.1311760896001033,1.3538929213464144
1.78,-1.1184600000005958,1.3139644000011685
1.78,-1.1047368703993925,1.2708737730554276
1.78,-1.0900745728006314,1.2248341585936942
1.78,-1.0745513471999857,1.176091230210659
1.78,-1.0582546496000305,1.1249195997424977
1.78,-1.0412800000005973,1.071619200000896
1.78,-1.023729830400498,1.0165116674543242
1.78,-1.0057123327987938,0.9599367249929855
1.78,-0.9873403072008387,0.9022485646128189
1.78,-0.9687300095988576,0.8438122301458861
1.78,-0.9500000000002728,0.7849999999998545
1.78,-0.9312699903998691,0.7261877698538228
1.78,-0.912659692799707,0.6677514353896186
1.78,-0.8942876672001603,0.6100632750103614
1.78,-0.8762701695986834,0.5534883325444753
1.78,-0.8587199999994937,0.4983808000015415
1.78,-0.8417453503998331,0.4450804002563018
1.78,-0.8254486527991958,0.3939087697899595
1.78,-0.8099254271987775,0.3451658414051053
1.78,-0.7952631295995616,0.29912622694610036
1.78,-0.781539999998131,0.2560356000049069
1.78,-0.768823910398396,0.21610707865693257
1.78,-0.7571712127999035,0.17951760818959883
1.78,-0.74662558719956,0.14640434381362866
1.78,-0.7372168895981304,0.1168610333425022
1.78,-0.7289599999994607,0.09093440000197006
1.78,-0.7218536703981044,0.06862052505402971
1.78,-0.7158793727983266,0.04986123059006786
1.78,-0.7110001471994565,0.03454046220667806
1.78,-0.7071594495980662,0.02248067174332391
1.78,-0.7042799999981071,0.013439199998174445
1.78,-0.7022626304003552,0.007104659453943896
1.78,-0.7009851327989054,0.003093316992817563
1.78,-0.7003011071990386,0.0009454766077396926
1.78,-0.7000388096009829,0.0001218621437146794
1.7799999999997453,-0.6999999999993634,0.0
1.7799658829735563,-0.6999865831902525,0.0
1.779732200392118,-0.6998946855462691,0.0
1.7791133364144116,-0.6996513120722057,0.0
1.7779385374988124,-0.6991893124991293,0.0
1.7760515213008148,-0.6984472274775726,0.0
1.7733100855471093,-0.6973691347649265,0.0
1.7695857169319424,-0.6959044954220417,0.0
1.7647632000011981,-0.6940079999997124,0.0
1.7587402260392082,-0.6916394147337996,0.0
1.7514270019537435,-0.6887634277343295,0.0
1.7427458591669165,-0.6853494951777748,0.0
1.7326308625006277,-0.6813716874994498,0.0
1.7210274190560995,-0.6768085355829498,0.0
1.7078918871116002,-0.6716428769526601,0.0
1.6931911849992503,-0.6658617019650137,0.0
1.6769023999995625,-0.6594559999989542,0.0
1.6590123972309812,-0.6524206056516277,0.0
1.6395174285171379,-0.6447540449212283,0.0
1.6184227412963992,-0.6364583814090565,0.0
1.5957421875004911,-0.627539062500091,0.0
1.5714978324353979,-0.6180047655633416,0.0
1.545719563673174,-0.6078672441401523,0.0
1.5184446999383,-0.5971411741334123,0.0
1.4897176000008585,-0.5858439999999518,0.0
1.4595892715451555,-0.5739957809441876,0.0
1.4281169800756288,-0.5616190371088123,0.0
1.3953638578022947,-0.5487385957640072,0.0
1.3613985125011823,-0.535381437498927,0.0
1.3262946364370691,-0.5215765424188703,0.0
1.290130615236194,-0.5073547363278976,0.0
1.2529891367571508,-0.49274853692622855,0.0
1.214956800001346,-0.4777919999999085,0.0
1.1761237239866205,-0.462520565612067,0.0
